prix de la crypto : 31750.32, prix de la prédiction : 31711.125
prix de la crypto : 29679.58, prix de la prédiction : 29624.679036458332
prix crypto up : 15.322, prix de la prédiction : 15.369797643025716
prix crypto down : 0.021942, prix de la prédiction : 0.03710806493957838programme toujours en cour d'exécution le : samedi 04 juin 2022 09:10:18
prix de la crypto : 29661.06, prix de la prédiction : 29567.87578125
prix crypto up : 15.314, prix de la prédiction : 15.309139188130697
prix crypto down : 0.021985, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 08:55:18
prix de la crypto : 29704.54, prix de la prédiction : 29624.806640625
prix crypto up : 15.379, prix de la prédiction : 15.404021199544271
prix crypto down : 0.021924, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 08:40:19
prix de la crypto : 29676.93, prix de la prédiction : 29588.536458333332
prix crypto up : 15.351, prix de la prédiction : 15.368251927693684
prix crypto down : 0.021929, prix de la prédiction : 0.026503244042396547programme toujours en cour d'exécution le : samedi 04 juin 2022 08:25:20
prix de la crypto : 29708.58, prix de la prédiction : 29638.6640625
prix crypto up : 15.389, prix de la prédiction : 15.440407689412435
prix crypto down : 0.021884, prix de la prédiction : 0.038366311540206276programme toujours en cour d'exécution le : samedi 04 juin 2022 08:10:20
prix de la crypto : 29708.15, prix de la prédiction : 29653.53671875
prix crypto up : 15.392, prix de la prédiction : 15.471791203816732
prix crypto down : 0.021864, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 07:55:20
prix de la crypto : 29690.86, prix de la prédiction : 29646.224739583333
prix crypto up : 15.355, prix de la prédiction : 15.457949574788412
prix crypto down : 0.021876, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 07:40:21
prix de la crypto : 29675.0, prix de la prédiction : 29590.04375
prix crypto up : 15.36, prix de la prédiction : 15.439684995015462
prix crypto down : 0.02192, prix de la prédiction : 0.03398649841547012programme toujours en cour d'exécution le : samedi 04 juin 2022 07:25:22
prix de la crypto : 29680.86, prix de la prédiction : 29593.808723958333
prix crypto up : 15.365, prix de la prédiction : 15.427348073323568
prix crypto down : 0.021926, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 07:10:23
prix de la crypto : 29691.32, prix de la prédiction : 29619.060286458334
prix crypto up : 15.363, prix de la prédiction : 15.461459096272787
prix crypto down : 0.021924, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 06:55:25
prix de la crypto : 29720.3, prix de la prédiction : 29653.027864583335
prix crypto up : 15.386, prix de la prédiction : 15.463052686055502
prix crypto down : 0.021878, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 06:40:25
prix de la crypto : 29679.23, prix de la prédiction : 29608.354036458335
prix crypto up : 15.299, prix de la prédiction : 15.349180348714192
prix crypto down : 0.021949, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 06:25:26
prix de la crypto : 29665.96, prix de la prédiction : 29582.130859375
prix crypto up : 15.314, prix de la prédiction : 15.36246960957845
prix crypto down : 0.021981, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 06:10:27
prix de la crypto : 29653.22, prix de la prédiction : 29574.516145833335
prix crypto up : 15.29, prix de la prédiction : 15.307750829060872
prix crypto down : 0.02201, prix de la prédiction : 0.02744454431037108programme toujours en cour d'exécution le : samedi 04 juin 2022 05:55:28
prix de la crypto : 29557.41, prix de la prédiction : 29442.233203125
prix crypto up : 15.134, prix de la prédiction : 15.091624196370443
prix crypto down : 0.022193, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 05:40:28
prix de la crypto : 29594.31, prix de la prédiction : 29508.374739583334
prix crypto up : 15.185, prix de la prédiction : 15.156683985392252
prix crypto down : 0.022085, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 05:25:29
prix de la crypto : 29600.0, prix de la prédiction : 29519.719270833335
prix crypto up : 15.216, prix de la prédiction : 15.213262494405111
prix crypto down : 0.022106, prix de la prédiction : 0.038454112410545346programme toujours en cour d'exécution le : samedi 04 juin 2022 05:10:29
prix de la crypto : 29595.23, prix de la prédiction : 29530.347005208332
prix crypto up : 15.213, prix de la prédiction : 15.21257298787435
prix crypto down : 0.022126, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 04:55:30
prix de la crypto : 29562.8, prix de la prédiction : 29517.058333333334
prix crypto up : 15.13, prix de la prédiction : 15.169326909383138
prix crypto down : 0.022192, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 04:40:31
prix de la crypto : 29500.09, prix de la prédiction : 29410.399609375
prix crypto up : 15.048, prix de la prédiction : 15.030543454488118
prix crypto down : 0.022281, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 04:25:32
prix de la crypto : 29502.57, prix de la prédiction : 29423.59765625
prix crypto up : 15.048, prix de la prédiction : 15.06459248860677
prix crypto down : 0.022267, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 04:10:33
prix de la crypto : 29548.4, prix de la prédiction : 29461.781380208333
prix crypto up : 15.126, prix de la prédiction : 15.064432080586752
prix crypto down : 0.022149, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 03:55:31
prix de la crypto : 29619.6, prix de la prédiction : 29533.780598958332
prix crypto up : 15.212, prix de la prédiction : 15.197529729207357
prix crypto down : 0.022078, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 03:40:31
prix de la crypto : 29581.89, prix de la prédiction : 29490.673958333333
prix crypto up : 15.166, prix de la prédiction : 15.111819203694662
prix crypto down : 0.022156, prix de la prédiction : 0.04043470472097397programme toujours en cour d'exécution le : samedi 04 juin 2022 03:25:32
prix de la crypto : 29595.65, prix de la prédiction : 29513.437369791667
prix crypto up : 15.206, prix de la prédiction : 15.135415967305502
prix crypto down : 0.022093, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 03:10:33
prix de la crypto : 29580.92, prix de la prédiction : 29505.84765625
prix crypto up : 15.179, prix de la prédiction : 15.119247500101725
prix crypto down : 0.022128, prix de la prédiction : 0.03573605865240097programme toujours en cour d'exécution le : samedi 04 juin 2022 02:55:34
prix de la crypto : 29716.61, prix de la prédiction : 29614.677213541665
prix crypto up : 15.365, prix de la prédiction : 15.302076276143392
prix crypto down : 0.021905, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 02:40:35
prix de la crypto : 29726.95, prix de la prédiction : 29651.470703125
prix crypto up : 15.396, prix de la prédiction : 15.29152291615804
prix crypto down : 0.021822, prix de la prédiction : 0.026988328124086063programme toujours en cour d'exécution le : samedi 04 juin 2022 02:25:36
prix de la crypto : 29751.02, prix de la prédiction : 29702.640625
prix crypto up : 15.417, prix de la prédiction : 15.461219724019369
prix crypto down : 0.021804, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 02:10:37
prix de la crypto : 29746.62, prix de la prédiction : 29701.324479166666
prix crypto up : 15.411, prix de la prédiction : 15.44557851155599
prix crypto down : 0.021828, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 01:55:38
prix de la crypto : 29717.53, prix de la prédiction : 29679.624348958332
prix crypto up : 15.368, prix de la prédiction : 15.40577901204427
prix crypto down : 0.021828, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 01:40:38
prix de la crypto : 29686.99, prix de la prédiction : 29647.940755208332
prix crypto up : 15.318, prix de la prédiction : 15.396644719441731
prix crypto down : 0.021959, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 01:25:38
prix de la crypto : 29691.35, prix de la prédiction : 29645.376302083332
prix crypto up : 15.348, prix de la prédiction : 15.421034940083821
prix crypto down : 0.021906, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 01:10:39
prix de la crypto : 29693.41, prix de la prédiction : 29637.461067708333
prix crypto up : 15.377, prix de la prédiction : 15.437398846944173
prix crypto down : 0.021891, prix de la prédiction : 0.080208886663119programme toujours en cour d'exécution le : samedi 04 juin 2022 00:55:40
prix de la crypto : 29706.23, prix de la prédiction : 29661.357161458334
prix crypto up : 15.389, prix de la prédiction : 15.50424664815267
prix crypto down : 0.021884, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 00:40:41
prix de la crypto : 29736.93, prix de la prédiction : 29690.011067708332
prix crypto up : 15.458, prix de la prédiction : 15.563474782307942
prix crypto down : 0.021845, prix de la prédiction : 0.03786458919445674programme toujours en cour d'exécution le : samedi 04 juin 2022 00:25:41
prix de la crypto : 29817.93, prix de la prédiction : 29751.734375
prix crypto up : 15.567, prix de la prédiction : 15.643226750691731
prix crypto down : 0.021703, prix de la prédiction : 0.1649198611577352programme toujours en cour d'exécution le : samedi 04 juin 2022 00:10:42
prix de la crypto : 29876.64, prix de la prédiction : 29856.490234375
prix crypto up : 15.667, prix de la prédiction : 15.817106183369955
prix crypto down : 0.021574, prix de la prédiction : 0.042713871349891026programme toujours en cour d'exécution le : vendredi 03 juin 2022 23:55:42
prix de la crypto : 29840.01, prix de la prédiction : 29790.344661458334
prix crypto up : 15.594, prix de la prédiction : 15.678787167867025
prix crypto down : 0.021671, prix de la prédiction : 0.034820928672949475programme toujours en cour d'exécution le : vendredi 03 juin 2022 23:40:43
prix de la crypto : 29739.39, prix de la prédiction : 29663.763020833332
prix crypto up : 15.44, prix de la prédiction : 15.55586617787679
prix crypto down : 0.021796, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 23:25:44
prix de la crypto : 29729.99, prix de la prédiction : 29687.419921875
prix crypto up : 15.43, prix de la prédiction : 15.444650586446127
prix crypto down : 0.021791, prix de la prédiction : 0.030126364529132844programme toujours en cour d'exécution le : vendredi 03 juin 2022 23:10:44
prix de la crypto : 29684.65, prix de la prédiction : 29627.871223958333
prix crypto up : 15.361, prix de la prédiction : 15.470869954427084
prix crypto down : 0.02189, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 22:55:44
prix de la crypto : 29692.93, prix de la prédiction : 29636.330208333333
prix crypto up : 15.4, prix de la prédiction : 15.537528928120931
prix crypto down : 0.021861, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 22:40:45
prix de la crypto : 29653.43, prix de la prédiction : 29594.144661458333
prix crypto up : 15.322, prix de la prédiction : 15.358812268575033
prix crypto down : 0.021935, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 22:25:46
prix de la crypto : 29609.68, prix de la prédiction : 29535.065755208332
prix crypto up : 15.264, prix de la prédiction : 15.334387715657552
prix crypto down : 0.021996, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 22:10:47
prix de la crypto : 29649.72, prix de la prédiction : 29574.854036458335
prix crypto up : 15.308, prix de la prédiction : 15.281188901265462
prix crypto down : 0.021952, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 21:55:48
prix de la crypto : 29596.55, prix de la prédiction : 29555.242057291667
prix crypto up : 15.267, prix de la prédiction : 15.313666280110677
prix crypto down : 0.022022, prix de la prédiction : 0.032858083645502724programme toujours en cour d'exécution le : vendredi 03 juin 2022 21:40:48
prix de la crypto : 29567.14, prix de la prédiction : 29499.065234375
prix crypto up : 15.176, prix de la prédiction : 15.197258885701498
prix crypto down : 0.022103, prix de la prédiction : 0.044506979485352836programme toujours en cour d'exécution le : vendredi 03 juin 2022 21:25:49
prix de la crypto : 29521.1, prix de la prédiction : 29447.7078125
prix crypto up : 15.125, prix de la prédiction : 15.155629285176595
prix crypto down : 0.022172, prix de la prédiction : 0.028449973712364834programme toujours en cour d'exécution le : vendredi 03 juin 2022 21:10:50
prix de la crypto : 29581.62, prix de la prédiction : 29535.279947916668
prix crypto up : 15.214, prix de la prédiction : 15.250464566548665
prix crypto down : 0.022107, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 20:55:51
prix de la crypto : 29525.79, prix de la prédiction : 29434.011067708332
prix crypto up : 15.126, prix de la prédiction : 15.182356961568196
prix crypto down : 0.022159, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 20:40:51
prix de la crypto : 29517.5, prix de la prédiction : 29446.824348958333
prix crypto up : 15.12, prix de la prédiction : 15.146841939290365
prix crypto down : 0.022189, prix de la prédiction : 0.026385898391405743programme toujours en cour d'exécution le : vendredi 03 juin 2022 20:25:52
prix de la crypto : 29540.58, prix de la prédiction : 29482.373828125
prix crypto up : 15.156, prix de la prédiction : 15.142341677347819
prix crypto down : 0.022175, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 20:10:53
prix de la crypto : 29505.27, prix de la prédiction : 29424.127083333333
prix crypto up : 15.111, prix de la prédiction : 15.162962849934896
prix crypto down : 0.022211, prix de la prédiction : 0.05270039861400922programme toujours en cour d'exécution le : vendredi 03 juin 2022 19:55:52
prix de la crypto : 29502.99, prix de la prédiction : 29432.513802083333
prix crypto up : 15.081, prix de la prédiction : 15.043730862935384
prix crypto down : 0.022226, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 19:40:53
prix de la crypto : 29533.56, prix de la prédiction : 29482.740364583333
prix crypto up : 15.143, prix de la prédiction : 15.166966565450032
prix crypto down : 0.022182, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 19:25:54
prix de la crypto : 29541.95, prix de la prédiction : 29460.057421875
prix crypto up : 15.137, prix de la prédiction : 15.161406644185384
prix crypto down : 0.022142, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 19:10:54
prix de la crypto : 29537.69, prix de la prédiction : 29474.023958333335
prix crypto up : 15.138, prix de la prédiction : 15.169849332173666
prix crypto down : 0.022151, prix de la prédiction : 0.04691521575053533programme toujours en cour d'exécution le : vendredi 03 juin 2022 18:55:54
prix de la crypto : 29527.1, prix de la prédiction : 29440.841145833332
prix crypto up : 15.173, prix de la prédiction : 15.15234006245931
prix crypto down : 0.022181, prix de la prédiction : 0.04104841947555542programme toujours en cour d'exécution le : vendredi 03 juin 2022 18:40:56
prix de la crypto : 29526.77, prix de la prédiction : 29426.011588541667
prix crypto up : 15.167, prix de la prédiction : 15.163939603169759
prix crypto down : 0.022132, prix de la prédiction : 0.02961584652463595programme toujours en cour d'exécution le : vendredi 03 juin 2022 18:25:56
prix de la crypto : 29468.1, prix de la prédiction : 29380.610677083332
prix crypto up : 15.035, prix de la prédiction : 15.02055066426595
prix crypto down : 0.022259, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 18:10:57
prix de la crypto : 29450.58, prix de la prédiction : 29385.483723958332
prix crypto up : 15.024, prix de la prédiction : 14.94306271870931
prix crypto down : 0.02228, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 17:55:58
prix de la crypto : 29526.15, prix de la prédiction : 29442.8390625
prix crypto up : 15.132, prix de la prédiction : 15.062972005208334
prix crypto down : 0.022176, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 17:40:59
prix de la crypto : 29503.32, prix de la prédiction : 29430.779427083333
prix crypto up : 15.13, prix de la prédiction : 15.108596738179525
prix crypto down : 0.022209, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 17:26:00
prix de la crypto : 29405.8, prix de la prédiction : 29344.027213541667
prix crypto up : 14.968, prix de la prédiction : 15.001029904683431
prix crypto down : 0.022372, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 17:11:01
prix de la crypto : 29368.14, prix de la prédiction : 29312.016276041668
prix crypto up : 14.871, prix de la prédiction : 14.942322794596354
prix crypto down : 0.022425, prix de la prédiction : 0.02682889687518279programme toujours en cour d'exécution le : vendredi 03 juin 2022 16:56:01
prix de la crypto : 29449.61, prix de la prédiction : 29348.21640625
prix crypto up : 15.004, prix de la prédiction : 15.01398557027181
prix crypto down : 0.02228, prix de la prédiction : 0.07290785213311514programme toujours en cour d'exécution le : vendredi 03 juin 2022 16:41:02
prix de la crypto : 29399.44, prix de la prédiction : 29318.145833333332
prix crypto up : 14.951, prix de la prédiction : 14.925029881795247
prix crypto down : 0.022345, prix de la prédiction : 0.04979419559240341programme toujours en cour d'exécution le : vendredi 03 juin 2022 16:26:03
prix de la crypto : 29588.93, prix de la prédiction : 29510.990364583333
prix crypto up : 15.234, prix de la prédiction : 15.296641286214193
prix crypto down : 0.022055, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 16:11:04
prix de la crypto : 29623.19, prix de la prédiction : 29551.337239583332
prix crypto up : 15.294, prix de la prédiction : 15.314012463887533
prix crypto down : 0.022001, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 15:56:05
prix de la crypto : 29668.46, prix de la prédiction : 29606.733203125
prix crypto up : 15.357, prix de la prédiction : 15.373793538411459
prix crypto down : 0.021954, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 15:41:05
prix de la crypto : 29677.81, prix de la prédiction : 29581.970052083332
prix crypto up : 15.377, prix de la prédiction : 15.362017758687337
prix crypto down : 0.021879, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 15:26:05
prix de la crypto : 29613.62, prix de la prédiction : 29533.83203125
prix crypto up : 15.264, prix de la prédiction : 15.273189481099447
prix crypto down : 0.022003, prix de la prédiction : 0.038936346272627514programme toujours en cour d'exécution le : vendredi 03 juin 2022 15:11:06
prix de la crypto : 29609.92, prix de la prédiction : 29529.71484375
prix crypto up : 15.268, prix de la prédiction : 15.21874802907308
prix crypto down : 0.022038, prix de la prédiction : 0.043613424400488536programme toujours en cour d'exécution le : vendredi 03 juin 2022 14:56:07
prix de la crypto : 29598.75, prix de la prédiction : 29499.823046875
prix crypto up : 15.233, prix de la prédiction : 15.174505360921223
prix crypto down : 0.022037, prix de la prédiction : 0.038598657896121345programme toujours en cour d'exécution le : vendredi 03 juin 2022 14:41:08
prix de la crypto : 29590.84, prix de la prédiction : 29488.26640625
prix crypto up : 15.259, prix de la prédiction : 15.196659978230795
prix crypto down : 0.022035, prix de la prédiction : 0.037378073980410896programme toujours en cour d'exécution le : vendredi 03 juin 2022 14:26:08
prix de la crypto : 29723.23, prix de la prédiction : 29612.533203125
prix crypto up : 15.45, prix de la prédiction : 15.38362496693929
prix crypto down : 0.021858, prix de la prédiction : 0.03891541933019956programme toujours en cour d'exécution le : vendredi 03 juin 2022 14:11:09
prix de la crypto : 29752.99, prix de la prédiction : 29635.047005208333
prix crypto up : 15.507, prix de la prédiction : 15.47302049001058
prix crypto down : 0.021781, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 13:56:10
prix de la crypto : 29767.51, prix de la prédiction : 29680.995833333334
prix crypto up : 15.511, prix de la prédiction : 15.480923589070638
prix crypto down : 0.021787, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 13:41:11
prix de la crypto : 29809.22, prix de la prédiction : 29715.564973958335
prix crypto up : 15.591, prix de la prédiction : 15.483398373921712
prix crypto down : 0.021701, prix de la prédiction : 0.02788470747570197programme toujours en cour d'exécution le : vendredi 03 juin 2022 13:26:12
prix de la crypto : 29767.74, prix de la prédiction : 29680.627083333333
prix crypto up : 15.521, prix de la prédiction : 15.389178212483724
prix crypto down : 0.021756, prix de la prédiction : 0.0322557953496774programme toujours en cour d'exécution le : vendredi 03 juin 2022 13:11:13
prix de la crypto : 29720.01, prix de la prédiction : 29605.600390625
prix crypto up : 15.456, prix de la prédiction : 15.41566079457601
prix crypto down : 0.021862, prix de la prédiction : 0.030743399262428285programme toujours en cour d'exécution le : vendredi 03 juin 2022 12:56:14
prix de la crypto : 29790.11, prix de la prédiction : 29685.368489583332
prix crypto up : 15.523, prix de la prédiction : 15.492194112141927
prix crypto down : 0.021817, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 12:41:15
prix de la crypto : 29940.7, prix de la prédiction : 29850.881770833334
prix crypto up : 15.729, prix de la prédiction : 15.689809735616048
prix crypto down : 0.021552, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 12:26:15
prix de la crypto : 29991.46, prix de la prédiction : 29915.534114583334
prix crypto up : 15.811, prix de la prédiction : 15.829699643452962
prix crypto down : 0.02145, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 12:11:16
prix de la crypto : 30163.95, prix de la prédiction : 30085.454947916667
prix crypto up : 16.077, prix de la prédiction : 16.022497177124023
prix crypto down : 0.021183, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 11:56:07
prix de la crypto : 30244.74, prix de la prédiction : 30147.28984375
prix crypto up : 16.222, prix de la prédiction : 16.22988115946452
prix crypto down : 0.021063, prix de la prédiction : 0.03855694532394409programme toujours en cour d'exécution le : vendredi 03 juin 2022 11:41:08
prix de la crypto : 30204.81, prix de la prédiction : 30109.517708333333
prix crypto up : 16.161, prix de la prédiction : 16.163856506347656
prix crypto down : 0.02111, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 11:26:08
prix de la crypto : 30221.16, prix de la prédiction : 30133.426302083335
prix crypto up : 16.181, prix de la prédiction : 16.190418243408203
prix crypto down : 0.021137, prix de la prédiction : 0.05166737561424573programme toujours en cour d'exécution le : vendredi 03 juin 2022 11:11:09
prix de la crypto : 30421.29, prix de la prédiction : 30339.772265625
prix crypto up : 16.515, prix de la prédiction : 16.589843622843425
prix crypto down : 0.020757, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 10:56:10
prix de la crypto : 30442.18, prix de la prédiction : 30349.866796875
prix crypto up : 16.525, prix de la prédiction : 16.60416056315104
prix crypto down : 0.020749, prix de la prédiction : 0.04739412615696589programme toujours en cour d'exécution le : vendredi 03 juin 2022 10:41:10
prix de la crypto : 30450.51, prix de la prédiction : 30373.361067708334
prix crypto up : 16.543, prix de la prédiction : 16.55282211303711
prix crypto down : 0.020739, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 10:26:11
prix de la crypto : 30469.21, prix de la prédiction : 30423.7359375
prix crypto up : 16.574, prix de la prédiction : 16.607555643717447
prix crypto down : 0.02072, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 10:11:11
prix de la crypto : 30500.02, prix de la prédiction : 30442.534244791666
prix crypto up : 16.642, prix de la prédiction : 16.65093231201172
prix crypto down : 0.02064, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 09:56:12
prix de la crypto : 30449.65, prix de la prédiction : 30377.2328125
prix crypto up : 16.547, prix de la prédiction : 16.60736656188965
prix crypto down : 0.020705, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 09:41:12
prix de la crypto : 30387.17, prix de la prédiction : 30317.738151041667
prix crypto up : 16.437, prix de la prédiction : 16.45926284790039
prix crypto down : 0.020825, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 09:26:13
prix de la crypto : 30358.95, prix de la prédiction : 30286.619010416667
prix crypto up : 16.421, prix de la prédiction : 16.44342803955078
prix crypto down : 0.020882, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 09:11:14
prix de la crypto : 30324.14, prix de la prédiction : 30275.04765625
prix crypto up : 16.365, prix de la prédiction : 16.364784240722656
prix crypto down : 0.020903, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 08:56:15
prix de la crypto : 30422.73, prix de la prédiction : 30370.529036458334
prix crypto up : 16.522, prix de la prédiction : 16.52002716064453
prix crypto down : 0.020747, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 08:41:14
prix de la crypto : 30489.64, prix de la prédiction : 30416.811197916668
prix crypto up : 16.591, prix de la prédiction : 16.60933494567871
prix crypto down : 0.020651, prix de la prédiction : 0.03637399474779765programme toujours en cour d'exécution le : vendredi 03 juin 2022 08:26:15
prix de la crypto : 30457.49, prix de la prédiction : 30390.031380208333
prix crypto up : 16.575, prix de la prédiction : 16.571386337280273
prix crypto down : 0.020708, prix de la prédiction : 0.02923316980401675programme toujours en cour d'exécution le : vendredi 03 juin 2022 08:11:16
prix de la crypto : 30522.91, prix de la prédiction : 30453.046744791667
prix crypto up : 16.655, prix de la prédiction : 16.581985473632812
prix crypto down : 0.020622, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 07:56:16
prix de la crypto : 30553.94, prix de la prédiction : 30476.106510416666
prix crypto up : 16.719, prix de la prédiction : 16.640033721923828
prix crypto down : 0.020551, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 07:41:16
prix de la crypto : 30541.12, prix de la prédiction : 30464.312630208333
prix crypto up : 16.695, prix de la prédiction : 16.62608553568522
prix crypto down : 0.020553, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 07:26:17
prix de la crypto : 30521.5, prix de la prédiction : 30428.41953125
prix crypto up : 16.652, prix de la prédiction : 16.63559341430664
prix crypto down : 0.020628, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 07:11:18
prix de la crypto : 30449.59, prix de la prédiction : 30355.058723958333
prix crypto up : 16.537, prix de la prédiction : 16.452329635620117
prix crypto down : 0.020734, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 06:56:19
prix de la crypto : 30429.68, prix de la prédiction : 30338.007421875
prix crypto up : 16.511, prix de la prédiction : 16.468534469604492
prix crypto down : 0.020746, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 06:41:20
prix de la crypto : 30489.98, prix de la prédiction : 30418.988151041667
prix crypto up : 16.583, prix de la prédiction : 16.579652786254883
prix crypto down : 0.020643, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 06:26:19
prix de la crypto : 30474.91, prix de la prédiction : 30389.2796875
prix crypto up : 16.546, prix de la prédiction : 16.487491607666016
prix crypto down : 0.020647, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 06:11:20
prix de la crypto : 30481.1, prix de la prédiction : 30396.070442708333
prix crypto up : 16.58, prix de la prédiction : 16.544038645426433
prix crypto down : 0.020659, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 05:56:20
prix de la crypto : 30513.33, prix de la prédiction : 30458.142317708334
prix crypto up : 16.645, prix de la prédiction : 16.634759775797527
